aX,aY,aZ,gX,gY,gZ
0.96,-0.243,-0.064,-9.766,7.935,2.808
0.965,-0.236,-0.076,-9.399,7.202,3.845
0.949,-0.219,-0.089,-6.287,2.625,3.662
0.953,-0.223,-0.075,-2.869,-0.061,0.549
0.98,-0.221,-0.059,-2.441,0.122,0.061
0.986,-0.205,-0.072,-2.075,-0.61,-0.122
0.966,-0.196,-0.089,0.122,-2.136,-2.38
0.967,-0.202,-0.09,0.366,-2.014,-3.479
1.001,-0.221,-0.051,-1.709,-0.793,-2.869
0.999,-0.217,-0.041,-8.606,2.258,3.052
0.989,-0.221,-0.048,-10.315,3.662,5.554
-0.004,-1.721,-0.922,-16.235,37.292,12.268
0.008,-1.717,-0.871,1.465,13.184,49.5
0.084,-1.391,-0.653,27.466,-30.884,129.211
0.251,-0.951,-0.441,35.461,-62.439,196.045
0.393,-0.695,-0.339,43.457,-77.515,240.845
0.582,-0.102,-0.171,48.584,-79.834,253.418
0.81,0.583,0.121,50.11,-66.406,264.099
0.89,0.943,0.332,17.7,-30.518,241.516
1.043,1.661,0.326,-9.094,-6.226,212.402
1.057,2.098,0.002,-52.856,35.828,112.671
1.032,2.107,-0.198,-58.96,46.997,-31.372
1.011,1.732,-0.39,-35.583,41.504,-105.652
0.9,1.099,-0.242,-15.808,17.761,-223.45
0.681,0.237,-0.133,-26.001,4.517,-291.443
0.533,-0.244,-0.108,-36.743,4.456,-304.993
0.308,-1.248,-0.17,-68.42,23.926,-279.053
0.186,-2.227,-0.45,-96.863,38.025,-189.148
0.178,-2.671,-0.743,-76.965,26.001,-61.768
0.189,-2.61,-0.745,-46.021,11.719,10.376
0.21,-1.971,-0.504,18.494,-15.381,138.672
0.327,-1.223,-0.338,47.485,-34.302,218.201
0.473,-0.874,-0.287,59.326,-41.138,238.953
0.745,-0.169,-0.108,87.402,-47.424,260.864
0.859,0.246,0.133,100.525,-27.527,259.766
1.051,1.073,0.247,89.355,-9.888,246.826
1.145,1.81,0.168,21.729,35.095,189.819
1.151,2.103,-0.081,-20.508,56.396,143.738
1.133,2.277,-0.651,-57.678,66.04,15.686
1.06,1.833,-0.671,-28.442,33.203,-135.742
1.012,1.531,-0.53,-13.184,-0.061,-249.512
0.866,0.747,-0.291,-20.203,-7.263,-281.433
0.63,-0.163,-0.136,-43.152,-7.08,-301.758
0.336,-1.114,-0.135,-63.782,19.165,-263.184
0.178,-1.632,-0.277,-71.777,32.776,-226.013
0.221,-2.417,-0.615,-57.678,39.795,-125.305
0.204,-2.374,-0.697,-14.465,16.968,10.437
