aX,aY,aZ,gX,gY,gZ
0.444,0.188,-0.88,2.38,0.183,-0.916
0.443,0.187,-0.869,1.465,-0.549,-0.732
0.439,0.196,-0.872,-0.793,-1.282,-0.427
0.432,0.21,-0.881,-0.061,-0.488,-0.61
0.431,0.219,-0.872,2.38,0,-1.526
0.453,0.191,-0.866,3.296,0.061,-3.357
0.454,0.179,-0.859,1.099,-1.343,-3.174
0.449,0.186,-0.868,0,-0.793,-0.793
0.445,0.202,-0.882,1.343,0.488,-1.404
0.458,0.197,-0.878,3.54,0.122,-1.282
0.454,0.197,-0.858,2.808,-1.221,-1.648
0.444,0.205,-0.852,0.793,-2.136,-1.77
0.462,0.198,-0.863,0.916,-0.183,-0.854
0.464,0.196,-0.87,0.183,-0.366,-0.549
0.459,0.2,-0.881,-1.221,-1.648,0.061
0.449,0.205,-0.872,-0.183,-1.831,-0.305
0.459,0.193,-0.871,0.366,-0.61,-0.305
0.456,0.197,-0.868,-0.183,-0.854,0.916
0.443,0.207,-0.874,1.16,-0.488,-0.061
0.46,0.19,-0.872,2.197,-0.183,0.427
0.451,0.198,-0.867,0,-1.099,0.671
0.46,0.202,-0.874,0.244,-0.671,-0.183
0.459,0.201,-0.863,0.732,-0.671,0
0.451,0.215,-0.865,-0.183,-0.549,0.488
0.453,0.213,-0.868,0.366,-0.305,-0.854
0.464,0.199,-0.869,0.793,-0.793,-1.892
0.464,0.183,-0.861,0.732,-1.465,-1.953
0.454,0.175,-0.857,0.488,-1.343,-0.244
0.448,0.193,-0.868,-0.671,-0.854,0.305
0.448,0.206,-0.887,0,-0.671,-0.122
0.451,0.203,-0.873,2.441,-0.549,-0.305
0.458,0.198,-0.873,1.831,-1.038,-0.854
0.457,0.208,-0.869,1.404,-1.831,-0.549
0.462,0.197,-0.86,1.77,-2.38,-0.977
0.457,0.194,-0.86,0.366,-2.991,-1.16
0.461,0.196,-0.868,0.793,-2.747,-0.732
0.462,0.196,-0.865,1.343,-2.319,-1.16
0.47,0.198,-0.866,1.77,-2.686,-0.854
0.469,0.195,-0.858,1.526,-3.296,-1.099
0.464,0.206,-0.864,0.305,-3.906,-0.305
0.459,0.206,-0.865,1.648,-3.662,-0.732
0.474,0.201,-0.864,2.197,-3.479,-0.977
-0.873,0.576,2.966,-56.213,110.474,35.278
-1.456,0.905,3.973,-80.505,189.453,42.48
-2.338,1.328,4,-81.787,255.798,16.113
-1.816,0.789,4,-81.36,463.074,-61.829
-1.086,0.279,3.541,-100.891,645.63,-68.665
-1.009,0.071,1.899,-108.032,717.346,-18.494
-0.901,-0.108,1.322,-109.863,720.276,-2.93
-0.882,-0.468,0.526,-163.574,656.128,27.1
-1.038,-0.632,-0.236,-266.296,549.377,38.94
-1.415,-0.254,-1.171,-315.918,454.59,50.049
-1.441,-0.055,-1.438,-255.005,384.399,1.343
-1.097,-0.385,-1.268,-175.415,333.679,-59.692
-0.776,-0.649,-1.158,-141.846,297.18,-72.876
-0.599,-0.711,-1.205,-132.69,272.827,-60.059
-0.459,-0.655,-1.347,-114.258,254.333,-41.138
-0.339,-0.55,-1.512,-86.487,233.765,-26.978
-0.233,-0.458,-1.624,-53.162,205.444,-21.79
-0.17,-0.289,-1.602,-20.081,156.128,-13.062
